cod.categoria,grupo,natureza,status,data.pagamento,cod.conta,cod.cliente,valor
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-01,1895907944,1974973095,"100,28"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-01,1895907944,1975044435,"109,04"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-01,1895907944,1978438446,"104,11"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-02,1895907944,1975085205,"100,73"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-02,1895907944,1975113213,"99,45"
2.05.05,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907937,1905015581,"2,05"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907698,1958649764,"2299,26"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907698,1905332860,"596,63"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907698,1905339857,"462,42"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907698,1905333848,"1001,36"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907698,1899244822,"1228,07"
2.01.04,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1906918681,"832,72"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1895902891,"520,58"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1909085440,"515,26"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1905331003,"1548,45"
2.03.01,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1905331901,"911,61"
2.12.03,CONTAS A PAGAR,P,PAGO,2022-01-03,1895907098,1982167314,"135,65"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-03,1895907937,1934578107,"106,02"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-03,1895907937,1975216894,"101,89"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-03,1895907937,1976075145,"192,05"
1.05.01,CONTAS A RECEBER,R,RECEBIDO,2022-01-03,1895907937,1964996253,"103,29"
